Authors	Title	Year	Source	Publisher	ArticleURL	CitesURL	GSRank	QueryDate	Type	DOI
"C Chen, T Takahashi, S Nakagawa, T Inoue…"	Reinforcement learning in depression: a review of computational research	2015	… & Biobehavioral Reviews	Elsevier	https://www.sciencedirect.com/science/article/pii/S0149763415001311	"https://scholar.google.com/scholar?cites=14119148433645211285&as_sdt=2005&sciodt=0,5&hl=en"	1	03/12/2020 13:53	HTML	
"A Mkrtchian, J Aylward, P Dayan, JP Roiser…"	Modeling avoidance in mood and anxiety disorders using reinforcement learning	2017	Biological …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0006322317300914	"https://scholar.google.com/scholar?cites=17704298607941658811&as_sdt=2005&sciodt=0,5&hl=en"	2	03/12/2020 13:53	HTML	
"Y Kunisato, K Katahira, T Okimura…"	Computational approach to depression: From the viewpoint of reinforcement learning	2019	Japanese Psychological …	jstage.jst.go.jp	https://www.jstage.jst.go.jp/article/sjpr/62/1/62_88/_article/-char/ja/	"https://scholar.google.com/scholar?cites=8392544970107897773&as_sdt=2005&sciodt=0,5&hl=en"	3	03/12/2020 13:53		
"J Aylward, V Valton, WY Ahn, RL Bond…"	Altered learning under uncertainty in unmedicated mood and anxiety disorders	2019	Nature human …	nature.com	https://www.nature.com/articles/s41562-019-0628-0	"https://scholar.google.com/scholar?cites=8438759844949428546&as_sdt=2005&sciodt=0,5&hl=en"	4	03/12/2020 13:53	HTML	
"H Huang, W Thompson, MP Paulus"	Computational dysfunctions in anxiety: Failure to differentiate signal from noise	2017	Biological psychiatry	Elsevier	https://www.sciencedirect.com/science/article/pii/S0006322317318061	"https://scholar.google.com/scholar?cites=17270933045658141128&as_sdt=2005&sciodt=0,5&hl=en"	5	03/12/2020 13:53	HTML	
"NJ Blanco, AR Otto, WT Maddox, CG Beevers, BC Love"	The influence of depression symptoms on exploratory decision-making	2013	Cognition	Elsevier	https://www.sciencedirect.com/science/article/pii/S0010027713001753	"https://scholar.google.com/scholar?cites=6452180075653784167&as_sdt=2005&sciodt=0,5&hl=en"	6	03/12/2020 13:53	HTML	
"Y Kunisato, Y Okamoto, K Ueda, K Onoda…"	Effects of depression on reward-based decision making and variability of action in probabilistic learning	2012	Journal of behavior …	Elsevier	https://www.sciencedirect.com/science/article/pii/S000579161200047X	"https://scholar.google.com/scholar?cites=5012252608470616299&as_sdt=2005&sciodt=0,5&hl=en"	7	03/12/2020 13:53	HTML	
"QJM Huys, DA Pizzagalli, R Bogdan…"	Mapping anhedonia onto reinforcement learning: a behavioural meta-analysis	2013	Biology of mood & anxiety …	Springer	https://link.springer.com/article/10.1186/2045-5380-3-12	"https://scholar.google.com/scholar?cites=6660372739586598181&as_sdt=2005&sciodt=0,5&hl=en"	8	03/12/2020 13:53	HTML	
"RP Marinier, JE Laird"	Emotion-driven reinforcement learning	2008	Proceedings of the annual meeting of the …	escholarship.org	https://escholarship.org/content/qt9jk839mw/qt9jk839mw.pdf	"https://scholar.google.com/scholar?cites=15744105566386615697&as_sdt=2005&sciodt=0,5&hl=en"	9	03/12/2020 13:53	PDF	
"T Gui, Q Zhang, L Zhu, X Zhou, M Peng…"	Depression Detection on Social Media with Reinforcement Learning	2019	… Chinese Computational …	Springer	https://link.springer.com/chapter/10.1007/978-3-030-32381-3_49		10	03/12/2020 13:53		
"H Ogishima, S Maeda, Y Tanaka, H Shimada"	"Effects of Depressive Symptoms, Feelings, and Interoception on Reward-Based Decision-Making: Investigation Using Reinforcement Learning Model"	2020	Brain Sciences	mdpi.com	https://www.mdpi.com/2076-3425/10/8/508	"https://scholar.google.com/scholar?cites=13512240265082704681&as_sdt=2005&sciodt=0,5&hl=en"	11	03/12/2020 13:53		
"F Queirazza, E Fouragnan, JD Steele…"	Neural correlates of weighted reward prediction error during reinforcement learning classify response to cognitive behavioral therapy in depression	2019	Science …	advances.sciencemag.org	https://advances.sciencemag.org/content/5/7/eaav4962.abstract	"https://scholar.google.com/scholar?cites=280514869552878777&as_sdt=2005&sciodt=0,5&hl=en"	12	03/12/2020 13:53		
"KM Spiegler, J Palmieri, KCH Pang…"	A reinforcement-learning model of active avoidance behavior: Differences between Sprague Dawley and Wistar-Kyoto rats	2020	Behavioural Brain …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0166432820304836	"https://scholar.google.com/scholar?cites=4005791956615096415&as_sdt=2005&sciodt=0,5&hl=en"	13	03/12/2020 13:53	HTML	
"L Zambrano-Vazquez, JJB Allen"	"Differential contributions of worry, anxiety, and obsessive compulsive symptoms to ERN amplitudes in response monitoring and reinforcement learning tasks"	2014	Neuropsychologia	Elsevier	https://www.sciencedirect.com/science/article/pii/S0028393214002048	"https://scholar.google.com/scholar?cites=4142984483738372753&as_sdt=2005&sciodt=0,5&hl=en"	14	03/12/2020 13:53	HTML	
"ML Beltzer, S Adams, PA Beling…"	Social Anxiety and Dynamic Social Reinforcement Learning in a Volatile Environment	2019	Clinical Psychological …	journals.sagepub.com	https://journals.sagepub.com/doi/abs/10.1177/2167702619858425		15	03/12/2020 13:53		
"E Eldar, RB Rutledge, RJ Dolan, Y Niv"	Mood as representation of momentum	2016	Trends in cognitive sciences	Elsevier	https://www.sciencedirect.com/science/article/pii/S1364661315001746	"https://scholar.google.com/scholar?cites=2056352134745244046&as_sdt=2005&sciodt=0,5&hl=en"	16	03/12/2020 13:53	HTML	
"AL Frey, MJ Frank, C McCabe"	Social reinforcement learning as a predictor of real-life experiences in individuals with high and low depressive symptomatology	2019	Psychological Medicine	cambridge.org	https://www.cambridge.org/core/journals/psychological-medicine/article/social-reinforcement-learning-as-a-predictor-of-reallife-experiences-in-individuals-with-high-and-low-depressive-symptomatology/0F25997C1E0CC5556F6A25969FC28975	"https://scholar.google.com/scholar?cites=4902732568749783014&as_sdt=2005&sciodt=0,5&hl=en"	17	03/12/2020 13:53		
"J Collenette, K Atkinson, D Bloembergen…"	Mood modelling within reinforcement learning	2017	Artificial Life Conference …	MIT Press	https://www.mitpressjournals.org/doi/abs/10.1162/isal_a_021	"https://scholar.google.com/scholar?cites=11562767374151119345&as_sdt=2005&sciodt=0,5&hl=en"	18	03/12/2020 13:53		
"JF Cavanagh, A Bismark, MJ Frank…"	Larger error signals in major depression are associated with better avoidance learning	2011	Frontiers in …	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fpsyg.2011.00331/full	"https://scholar.google.com/scholar?cites=17015866812014466703&as_sdt=2005&sciodt=0,5&hl=en"	19	03/12/2020 13:53	HTML	
"JA Waltz, MJ Frank, BM Robinson, JM Gold"	Selective reinforcement learning deficits in schizophrenia support predictions from computational models of striatal-cortical dysfunction	2007	Biological psychiatry	Elsevier	https://www.sciencedirect.com/science/article/pii/S000632230601239X	"https://scholar.google.com/scholar?cites=11723680825512478102&as_sdt=2005&sciodt=0,5&hl=en"	20	03/12/2020 13:53	HTML	
"R Admon, DA Pizzagalli"	Dysfunctional reward processing in depression	2015	Current Opinion in Psychology	Elsevier	https://www.sciencedirect.com/science/article/pii/S2352250X14000220	"https://scholar.google.com/scholar?cites=903791774285429429&as_sdt=2005&sciodt=0,5&hl=en"	21	03/12/2020 13:53	HTML	
K Doya	Reinforcement learning: Computational theory and biological mechanisms	2007	HFSP journal	Taylor & Francis	https://www.tandfonline.com/doi/pdf/10.2976/1.2732246/10.2976/1	"https://scholar.google.com/scholar?cites=7299230228197518441&as_sdt=2005&sciodt=0,5&hl=en"	22	03/12/2020 13:53		
"D Lee, H Seo, MW Jung"	Neural basis of reinforcement learning and decision making	2012	Annual review of neuroscience	annualreviews.org	https://www.annualreviews.org/doi/abs/10.1146/annurev-neuro-062111-150512	"https://scholar.google.com/scholar?cites=12908683535992741961&as_sdt=2005&sciodt=0,5&hl=en"	23	03/12/2020 13:53		
"K Doya, K Samejima, K Katagiri, M Kawato"	Multiple model-based reinforcement learning	2002	Neural computation	MIT Press	https://www.mitpressjournals.org/doi/abs/10.1162/089976602753712972	"https://scholar.google.com/scholar?cites=17294833705705749571&as_sdt=2005&sciodt=0,5&hl=en"	24	03/12/2020 13:53		
"M Rothkirch, J Tonn, S Köhler, P Sterzer"	Neural mechanisms of reinforcement learning in unmedicated patients with major depressive disorder	2017	Brain	academic.oup.com	https://academic.oup.com/brain/article-abstract/140/4/1147/3038009	"https://scholar.google.com/scholar?cites=12645802402271498993&as_sdt=2005&sciodt=0,5&hl=en"	25	03/12/2020 13:53		
"Z Wan, H Li, H He, D Prokhorov"	Model-free real-time EV charging scheduling based on deep reinforcement learning	2018	IEEE Transactions on Smart …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/8521585/	"https://scholar.google.com/scholar?cites=5488989481666026659&as_sdt=2005&sciodt=0,5&hl=en"	26	03/12/2020 13:53		
"J Stockholm, P Pasquier"	Reinforcement learning of listener response for mood classification of audio	2009	… Conference on Computational …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/5283188/	"https://scholar.google.com/scholar?cites=8051492477030502312&as_sdt=2005&sciodt=0,5&hl=en"	27	03/12/2020 13:53		
"L Romaniuk, AL Sandu, GD Waiter, CJ McNeil…"	The neurobiology of personal control during reward learning and its relationship to mood	2019	Biological Psychiatry …	Elsevier	https://www.sciencedirect.com/science/article/pii/S2451902218302544	"https://scholar.google.com/scholar?cites=4059678128202976720&as_sdt=2005&sciodt=0,5&hl=en"	28	03/12/2020 13:53	HTML	
DA Pizzagalli	"Depression, stress, and anhedonia: toward a synthesis and integrated model"	2014	Annual review of clinical psychology	annualreviews.org	https://www.annualreviews.org/doi/abs/10.1146/annurev-clinpsy-050212-185606	"https://scholar.google.com/scholar?cites=10765720111379516305&as_sdt=2005&sciodt=0,5&hl=en"	29	03/12/2020 13:53		
"RB Rutledge, M Moutoussis, P Smittenaar…"	Association of neural and emotional impacts of reward prediction errors with major depression	2017	JAMA …	jamanetwork.com	https://jamanetwork.com/journals/jamapsychiatry/article-abstract/2635343	"https://scholar.google.com/scholar?cites=14461827328587116195&as_sdt=2005&sciodt=0,5&hl=en"	30	03/12/2020 13:53		
"S Grossberg, JWL Merrill"	A neural network model of adaptively timed reinforcement learning and hippocampal dynamics	1992	Cognitive brain research	Elsevier	https://www.sciencedirect.com/science/article/pii/092664109290003A	"https://scholar.google.com/scholar?cites=4694390324442023021&as_sdt=2005&sciodt=0,5&hl=en"	31	03/12/2020 13:53	HTML	
"N Rouhani, Y Niv"	Depressive symptoms bias the prediction-error enhancement of memory towards negative events in reinforcement learning	2019	Psychopharmacology	Springer	https://link.springer.com/article/10.1007/s00213-019-05322-z	"https://scholar.google.com/scholar?cites=10808927599117111437&as_sdt=2005&sciodt=0,5&hl=en"	32	03/12/2020 13:53		
"P Dayan, Y Niv"	"Reinforcement learning: the good, the bad and the ugly"	2008	Current opinion in neurobiology	Elsevier	https://www.sciencedirect.com/science/article/pii/S0959438808000767	"https://scholar.google.com/scholar?cites=7203688626938870712&as_sdt=2005&sciodt=0,5&hl=en"	33	03/12/2020 13:53	HTML	
Y Niv	Reinforcement learning in the brain	2009	Journal of Mathematical Psychology	Elsevier	https://www.sciencedirect.com/science/article/pii/S0022249608001181	"https://scholar.google.com/scholar?cites=41899858911265441&as_sdt=2005&sciodt=0,5&hl=en"	34	03/12/2020 13:53	HTML	
MJ Frank	Schizophrenia: a computational reinforcement learning perspective	2008	Schizophrenia bulletin	academic.oup.com	https://academic.oup.com/schizophreniabulletin/article-abstract/34/6/1008/1943244	"https://scholar.google.com/scholar?cites=12915067499102488969&as_sdt=2005&sciodt=0,5&hl=en"	35	03/12/2020 13:53		
"T Schönberg, ND Daw, D Joel…"	Reinforcement learning signals in the human striatum distinguish learners from nonlearners during reward-based decision making	2007	Journal of …	Soc Neuroscience	https://www.jneurosci.org/content/27/47/12860.short	"https://scholar.google.com/scholar?cites=6234066321263179894&as_sdt=2005&sciodt=0,5&hl=en"	36	03/12/2020 13:53		
"A Johnson, AD Redish"	Hippocampal replay contributes to within session learning in a temporal difference reinforcement learning model	2005	Neural Networks	Elsevier	https://www.sciencedirect.com/science/article/pii/S0893608005001991	"https://scholar.google.com/scholar?cites=372454890188181589&as_sdt=2005&sciodt=0,5&hl=en"	37	03/12/2020 13:53	HTML	
CMA Pennartz	Reinforcement learning by Hebbian synapses with adaptive thresholds	1997	Neuroscience	Elsevier	https://www.sciencedirect.com/science/article/pii/S0306452297001188	"https://scholar.google.com/scholar?cites=9111725270823606526&as_sdt=2005&sciodt=0,5&hl=en"	38	03/12/2020 13:53	HTML	
RV Florian	Reinforcement learning through modulation of spike-timing-dependent synaptic plasticity	2007	Neural computation	MIT Press	https://www.mitpressjournals.org/doi/abs/10.1162/neco.2007.19.6.1468	"https://scholar.google.com/scholar?cites=1152776304255514105&as_sdt=2005&sciodt=0,5&hl=en"	39	03/12/2020 13:53		
"SJ Gershman, ND Daw"	Reinforcement learning and episodic memory in humans and animals: an integrative framework	2017	Annual review of psychology	annualreviews.org	https://www.annualreviews.org/doi/abs/10.1146/annurev-psych-122414-033625	"https://scholar.google.com/scholar?cites=1182011771703196243&as_sdt=2005&sciodt=0,5&hl=en"	40	03/12/2020 13:53		
"MA McDannald, F Lucantonio, KA Burke…"	"Ventral striatum and orbitofrontal cortex are both required for model-based, but not model-free, reinforcement learning"	2011	Journal of …	Soc Neuroscience	https://www.jneurosci.org/content/31/7/2700.short	"https://scholar.google.com/scholar?cites=17601098312351237120&as_sdt=2005&sciodt=0,5&hl=en"	41	03/12/2020 13:53		
"AY Dombrovski, MN Hallquist, VM Brown, J Wilson…"	"Value-based choice, contingency learning, and suicidal behavior in mid-and late-life depression"	2019	Biological …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0006322318319395	"https://scholar.google.com/scholar?cites=12926541006169770858&as_sdt=2005&sciodt=0,5&hl=en"	42	03/12/2020 13:53	HTML	
"GP Strauss, MJ Frank, JA Waltz, Z Kasanova…"	Deficits in positive reinforcement learning and uncertainty-driven exploration are associated with distinct aspects of negative symptoms in schizophrenia	2011	Biological …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0006322310011066	"https://scholar.google.com/scholar?cites=13715447525806739740&as_sdt=2005&sciodt=0,5&hl=en"	43	03/12/2020 13:53	HTML	
"DL Santesso, AE Evins, MJ Frank…"	Single dose of a dopamine agonist impairs reinforcement learning in humans: Evidence from event?related potentials and computational modeling of striatal?cortical …	2009	Human brain …	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.20642	"https://scholar.google.com/scholar?cites=1951692299732933876&as_sdt=2005&sciodt=0,5&hl=en"	44	03/12/2020 13:53		
B Seymour	Pain: a precision signal for reinforcement learning and control	2019	Neuron	Elsevier	https://www.sciencedirect.com/science/article/pii/S0896627319300820	"https://scholar.google.com/scholar?cites=5423332456450877131&as_sdt=2005&sciodt=0,5&hl=en"	45	03/12/2020 13:53	HTML	
"N Eshel, JP Roiser"	Reward and punishment processing in depression	2010	Biological psychiatry	Elsevier	https://www.sciencedirect.com/science/article/pii/S0006322310000697	"https://scholar.google.com/scholar?cites=2302557379648199934&as_sdt=2005&sciodt=0,5&hl=en"	46	03/12/2020 13:53	HTML	
"OJ Robinson, HW Chase"	Learning and choice in mood disorders: searching for the computational parameters of anhedonia	2017	Computational Psychiatry	MIT Press	https://www.mitpressjournals.org/doi/abs/10.1162/CPSY_a_00009	"https://scholar.google.com/scholar?cites=3756192986545152849&as_sdt=2005&sciodt=0,5&hl=en"	47	03/12/2020 13:53		
"RD Samson, MJ Frank, JM Fellous"	Computational models of reinforcement learning: the role of dopamine as a reward signal	2010	Cognitive neurodynamics	Springer	https://link.springer.com/content/pdf/10.1007/s11571-010-9109-x.pdf	"https://scholar.google.com/scholar?cites=4239847706232012188&as_sdt=2005&sciodt=0,5&hl=en"	48	03/12/2020 13:53	PDF	
"AR Mathew, L Hogarth, AM Leventhal, JW Cook…"	Cigarette smoking and depression comorbidity: systematic review and proposed theoretical model	2017	…	Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1111/add.13604	"https://scholar.google.com/scholar?cites=10645876487205139997&as_sdt=2005&sciodt=0,5&hl=en"	49	03/12/2020 13:53		
"TV Maia, MJ Frank"	From reinforcement learning models to psychiatric and neurological disorders	2011	Nature neuroscience	nature.com	https://www.nature.com/neuro/journal/v14/n2/full/nn.2723.html	"https://scholar.google.com/scholar?cites=11435771553740641746&as_sdt=2005&sciodt=0,5&hl=en"	50	03/12/2020 13:53	HTML	
Y Li	Deep reinforcement learning: An overview	2017	arXiv preprint arXiv:1701.07274	arxiv.org	https://arxiv.org/abs/1701.07274	"https://scholar.google.com/scholar?cites=14769474351722042070&as_sdt=2005&sciodt=0,5&hl=en"	51	03/12/2020 13:53		
"HW Chase, MJ Frank, A Michael, ET Bullmore…"	Approach and avoidance learning in patients with major depression and healthy controls: relation to anhedonia	2010	Psychological …	academia.edu	http://www.academia.edu/download/30728501/ChaseEtAl10.pdf	"https://scholar.google.com/scholar?cites=3395914852222332057&as_sdt=2005&sciodt=0,5&hl=en"	52	03/12/2020 13:53	PDF	
"MJ Frank, BS Woroch, T Curran"	Error-related negativity predicts reinforcement learning and conflict biases	2005	Neuron	Elsevier	https://www.sciencedirect.com/science/article/pii/S089662730500526X	"https://scholar.google.com/scholar?cites=636879915616162716&as_sdt=2005&sciodt=0,5&hl=en"	53	03/12/2020 13:53	HTML	
B Recht	A tour of reinforcement learning: The view from continuous control	2019	"Annual Review of Control, Robotics, and Autonomous …"	annualreviews.org	https://www.annualreviews.org/doi/abs/10.1146/annurev-control-053018-023825	"https://scholar.google.com/scholar?cites=12077852862286804298&as_sdt=2005&sciodt=0,5&hl=en"	54	03/12/2020 13:53		
"MJ Frank, ED Claus"	"Anatomy of a decision: striato-orbitofrontal interactions in reinforcement learning, decision making, and reversal."	2006	Psychological review	psycnet.apa.org	https://psycnet.apa.org/journals/rev/113/2/300.html?uid=2006-04733-004	"https://scholar.google.com/scholar?cites=16654297544076147369&as_sdt=2005&sciodt=0,5&hl=en"	55	03/12/2020 13:53		
RV Florian	A reinforcement learning algorithm for spiking neural networks	2005	… Symposium on Symbolic and Numeric Algorithms …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/1595864/	"https://scholar.google.com/scholar?cites=7557304549848841575&as_sdt=2005&sciodt=0,5&hl=en"	56	03/12/2020 13:53		
"JA Cooper, AR Arulpragasam, MT Treadway"	Anhedonia in depression: biological mechanisms and computational models	2018	Current opinion in behavioral …	Elsevier	https://www.sciencedirect.com/science/article/pii/S2352154617301973	"https://scholar.google.com/scholar?cites=10746948600293805415&as_sdt=2005&sciodt=0,5&hl=en"	57	03/12/2020 13:53	HTML	
"BB Doll, KG Bath, ND Daw, MJ Frank"	Variability in dopamine genes dissociates model-based and model-free reinforcement learning	2016	Journal of Neuroscience	Soc Neuroscience	https://www.jneurosci.org/content/36/4/1211.short	"https://scholar.google.com/scholar?cites=11285714409712423549&as_sdt=2005&sciodt=0,5&hl=en"	58	03/12/2020 13:53		
"PP Balasubramani, VS Chakravarthy…"	"An extended reinforcement learning model of basal ganglia to understand the contributions of serotonin and dopamine in risk-based decision making, reward …"	2014	… in computational …	frontiersin.org	https://www.frontiersin.org/articles/10.3389/fncom.2014.00047/full	"https://scholar.google.com/scholar?cites=4775471399522454598&as_sdt=2005&sciodt=0,5&hl=en"	59	03/12/2020 13:53	HTML	
"JF Cavanagh, MJ Frank, TJ Klein, JJB Allen"	Frontal theta links prediction errors to behavioral adaptation in reinforcement learning	2010	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S105381190901266X	"https://scholar.google.com/scholar?cites=6474530991703126585&as_sdt=2005&sciodt=0,5&hl=en"	60	03/12/2020 13:53	HTML	
"CB Holroyd, MGH Coles"	"The neural basis of human error processing: reinforcement learning, dopamine, and the error-related negativity."	2002	Psychological review	psycnet.apa.org	https://psycnet.apa.org/record/2002-18225-003	"https://scholar.google.com/scholar?cites=17963634357287937398&as_sdt=2005&sciodt=0,5&hl=en"	61	03/12/2020 13:53		
"X Wang, Y Wang, D Hsu, Y Wang"	Exploration in interactive personalized music recommendation: a reinforcement learning approach	2014	ACM Transactions on Multimedia …	dl.acm.org	https://dl.acm.org/doi/abs/10.1145/2623372	"https://scholar.google.com/scholar?cites=5405103119904723802&as_sdt=2005&sciodt=0,5&hl=en"	62	03/12/2020 13:53		
P Dayan	"Dopamine, reinforcement learning, and addiction"	2009	Pharmacopsychiatry	thieme-connect.com	https://www.thieme-connect.com/products/ejournals/abstract/10.1055/s-0028-1124107	"https://scholar.google.com/scholar?cites=15708042508458037298&as_sdt=2005&sciodt=0,5&hl=en"	63	03/12/2020 13:53		
SPCC Gadanho	Reinforcement learning in autonomous robots: An empirical investigation of the role of emotions	1999		era.ed.ac.uk	https://era.ed.ac.uk/handle/1842/360	"https://scholar.google.com/scholar?cites=11456370212038097785&as_sdt=2005&sciodt=0,5&hl=en"	64	03/12/2020 13:53		
"AD Redish, S Jensen, A Johnson…"	"Reconciling reinforcement learning models with behavioral extinction and renewal: implications for addiction, relapse, and problem gambling."	2007	Psychological …	psycnet.apa.org	https://psycnet.apa.org/record/2007-10421-010	"https://scholar.google.com/scholar?cites=3565892907732979218&as_sdt=2005&sciodt=0,5&hl=en"	65	03/12/2020 13:53		
"S Palminteri, EJ Kilford, G Coricelli…"	The computational development of reinforcement learning during adolescence	2016	PLoS computational …	journals.plos.org	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1004953	"https://scholar.google.com/scholar?cites=9379544770484463144&as_sdt=2005&sciodt=0,5&hl=en"	66	03/12/2020 13:53	HTML	
"H Jasso, J Triesch, G Deák"	A reinforcement learning model of social referencing	2008	2008 7th IEEE International …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/4640844/	"https://scholar.google.com/scholar?cites=13696939333928495216&as_sdt=2005&sciodt=0,5&hl=en"	67	03/12/2020 13:53		
"G Luksys, W Gerstner, C Sandi"	"Stress, genotype and norepinephrine in the prediction of mouse behavior using reinforcement learning"	2009	Nature neuroscience	nature.com	https://www.nature.com/neuro/journal/v12/n9/full/nn.2374.html	"https://scholar.google.com/scholar?cites=5851821612240736723&as_sdt=2005&sciodt=0,5&hl=en"	68	03/12/2020 13:53	HTML	
"CC Ting, S Palminteri, M Lebreton, J Engelmann"	The elusive effects of incidental anxiety on reinforcement-learning	2020		psyarxiv.com	https://psyarxiv.com/7d4tc/	"https://scholar.google.com/scholar?cites=15293960127955088686&as_sdt=2005&sciodt=0,5&hl=en"	69	03/12/2020 13:53		
"AGE Collins, MJ Frank"	Opponent actor learning (OpAL): Modeling interactive effects of striatal dopamine on reinforcement learning and choice incentive.	2014	Psychological review	psycnet.apa.org	https://psycnet.apa.org/record/2014-31650-003	"https://scholar.google.com/scholar?cites=15021302925332102351&as_sdt=2005&sciodt=0,5&hl=en"	70	03/12/2020 13:53		
PF Dominey	Complex sensory-motor sequence learning based on recurrent state representation and reinforcement learning	1995	Biological cybernetics	Springer	https://link.springer.com/article/10.1007/BF00201428	"https://scholar.google.com/scholar?cites=17843014476807990674&as_sdt=2005&sciodt=0,5&hl=en"	71	03/12/2020 13:53		
"W Van den Bos, MX Cohen, T Kahnt…"	Striatum–medial prefrontal cortex connectivity predicts developmental changes in reinforcement learning	2012	Cerebral cortex	academic.oup.com	https://academic.oup.com/cercor/article-abstract/22/6/1247/307075	"https://scholar.google.com/scholar?cites=12388678249551832914&as_sdt=2005&sciodt=0,5&hl=en"	72	03/12/2020 13:53		
"P Dayan, BW Balleine"	"Reward, motivation, and reinforcement learning"	2002	Neuron	Elsevier	https://www.sciencedirect.com/science/article/pii/S0896627302009637	"https://scholar.google.com/scholar?cites=11359147579559000691&as_sdt=2005&sciodt=0,5&hl=en"	73	03/12/2020 13:53	HTML	
"DA Pizzagalli, AE Evins, EC Schetter, MJ Frank…"	Single dose of a dopamine agonist impairs reinforcement learning in humans: behavioral evidence from a laboratory-based measure of reward …	2008	…	Springer	https://link.springer.com/article/10.1007/s00213-007-0957-y	"https://scholar.google.com/scholar?cites=7248130431237108063&as_sdt=2005&sciodt=0,5&hl=en"	74	03/12/2020 13:53	HTML	
"Y Niv, D Joel, I Meilijson, E Ruppin"	Evolution of reinforcement learning in uncertain environments: A simple explanation for complex foraging behaviors	2002		journals.sagepub.com	https://journals.sagepub.com/doi/abs/10.1177/1059-712302-010001-01	"https://scholar.google.com/scholar?cites=4223054211316003985&as_sdt=2005&sciodt=0,5&hl=en"	75	03/12/2020 13:53		
"S Ziegler, ML Pedersen, AM Mowinckel…"	Modelling ADHD: A review of ADHD theories through their predictions for computational models of decision-making and reinforcement learning	2016	… & Biobehavioral Reviews	Elsevier	https://www.sciencedirect.com/science/article/pii/S0149763415301846	"https://scholar.google.com/scholar?cites=11108308558386894134&as_sdt=2005&sciodt=0,5&hl=en"	76	03/12/2020 13:53	HTML	
"M Chen, S Wang, PP Liang, T Baltrušaitis…"	Multimodal sentiment analysis with word-level fusion and reinforcement learning	2017	Proceedings of the 19th …	dl.acm.org	https://dl.acm.org/doi/abs/10.1145/3136755.3136801	"https://scholar.google.com/scholar?cites=14022442853934934096&as_sdt=2005&sciodt=0,5&hl=en"	77	03/12/2020 13:53		
"X Qi, Y Luo, G Wu, K Boriboonsomsin…"	Deep reinforcement learning enabled self-learning control for energy efficient driving	2019	… Research Part C …	Elsevier	https://www.sciencedirect.com/science/article/pii/S0968090X18318862	"https://scholar.google.com/scholar?cites=11034685488963356590&as_sdt=2005&sciodt=0,5&hl=en"	78	03/12/2020 13:53	HTML	
"MJ Frank, C Gagne, E Nyhus, S Masters…"	fMRI and EEG predictors of dynamic decision parameters during human reinforcement learning	2015	Journal of …	Soc Neuroscience	https://www.jneurosci.org/content/35/2/485.short	"https://scholar.google.com/scholar?cites=11546452665857796065&as_sdt=2005&sciodt=0,5&hl=en"	79	03/12/2020 13:53		
"DL Santesso, DG Dillon, JL Birk, AJ Holmes, E Goetz…"	"Individual differences in reinforcement learning: behavioral, electrophysiological, and neuroimaging correlates"	2008	Neuroimage	Elsevier	https://www.sciencedirect.com/science/article/pii/S105381190800668X	"https://scholar.google.com/scholar?cites=17627886075289840487&as_sdt=2005&sciodt=0,5&hl=en"	80	03/12/2020 13:53	HTML	
"X Qi, Y Luo, G Wu, K Boriboonsomsin…"	Deep reinforcement learning-based vehicle energy efficiency autonomous learning system	2017	2017 IEEE Intelligent …	ieeexplore.ieee.org	https://ieeexplore.ieee.org/abstract/document/7995880/	"https://scholar.google.com/scholar?cites=11877861587550172167&as_sdt=2005&sciodt=0,5&hl=en"	81	03/12/2020 13:53		
"A Radulescu, Y Niv, I Ballard"	Holistic reinforcement learning: the role of structure and attention	2019	Trends in cognitive sciences	Elsevier	https://www.sciencedirect.com/science/article/pii/S1364661319300361	"https://scholar.google.com/scholar?cites=8139968797891480340&as_sdt=2005&sciodt=0,5&hl=en"	82	03/12/2020 13:53	HTML	
"CT Law, JI Gold"	Reinforcement learning can account for associative and perceptual learning on a visual-decision task	2009	Nature neuroscience	nature.com	https://www.nature.com/neuro/journal/v12/n5/full/nn.2304.html	"https://scholar.google.com/scholar?cites=3696758525953017280&as_sdt=2005&sciodt=0,5&hl=en"	83	03/12/2020 13:53	HTML	
"EC Dowd, MJ Frank, A Collins, JM Gold…"	Probabilistic reinforcement learning in patients with schizophrenia: Relationships to anhedonia and avolition	2016	Biological psychiatry …	Elsevier	https://www.sciencedirect.com/science/article/pii/S2451902216300581	"https://scholar.google.com/scholar?cites=18236938838055759060&as_sdt=2005&sciodt=0,5&hl=en"	84	03/12/2020 13:53	HTML	
